GEOID,NAME,pop,income,rent,home_value,vacancy_rate,ami_60,below_60_ami,PovertyRate,LILATracts_1And10,lapop1share,LATracts_half,TractHUNV,TractSNAP,snap_pct,hunv_pct
29095001100,"Census Tract 11, Jackson County, Missouri",1744,42760,996,142500,0.1828,49620,1,23.2,0,NULL,0,252,97,0.0556,0.1445
29095007200,"Census Tract 72, Jackson County, Missouri",1918,113000,1547,458800,0.1254,49620,0,4.4,0,NULL,1,16,0,0,0.0083
29095014603,"Census Tract 146.03, Jackson County, Missouri",3597,69919,1164,123000,0.0662,49620,0,5.6,0,28.36,1,57,103,0.0286,0.0158
29095013100,"Census Tract 131, Jackson County, Missouri",2454,46016,1018,86200,0.176,49620,1,17.5,0,0.00,1,118,137,0.0558,0.0481
29095017300,"Census Tract 173, Jackson County, Missouri",3431,82692,1101,184100,0.0494,49620,0,2.7,0,0.81,1,26,9,0.0026,0.0076
29095014006,"Census Tract 140.06, Jackson County, Missouri",6307,79254,1032,170800,0.0295,49620,0,7.8,0,98.46,1,66,87,0.0138,0.0105
29095013504,"Census Tract 135.04, Jackson County, Missouri",3512,98050,1289,256300,0,49620,0,4.9,0,64.35,0,9,0,0,0.0026
29095013410,"Census Tract 134.10, Jackson County, Missouri",3663,44055,857,61700,0.1558,49620,1,13.3,1,100.00,1,132,287,0.0784,0.036
29095016100,"Census Tract 161, Jackson County, Missouri",2134,38170,695,160200,0.1532,49620,1,26.4,0,10.26,1,243,216,0.1012,0.1139
29095000600,"Census Tract 6, Jackson County, Missouri",4402,35280,809,42800,0.2525,49620,1,30.6,0,NULL,1,125,363,0.0825,0.0284
29095008800,"Census Tract 88, Jackson County, Missouri",3684,37817,867,59300,0.2541,49620,1,30.4,1,86.73,1,386,385,0.1045,0.1048
29095000900,"Census Tract 9, Jackson County, Missouri",2640,33854,754,74300,0.1944,49620,1,43.5,0,NULL,0,167,300,0.1136,0.0633
29095015400,"Census Tract 154, Jackson County, Missouri",3900,14701,638,100900,0.1268,49620,1,59.3,0,NULL,0,330,716,0.1836,0.0846
29095016000,"Census Tract 160, Jackson County, Missouri",1484,28994,833,81900,0.2957,49620,1,37.2,0,NULL,1,186,195,0.1314,0.1253
29095007600,"Census Tract 76, Jackson County, Missouri",2018,40347,888,51600,0.3159,49620,1,23.9,1,87.44,1,132,230,0.114,0.0654
29095015700,"Census Tract 157, Jackson County, Missouri",3601,58839,1136,201600,0.0744,49620,0,9.6,0,NULL,0,273,25,0.0069,0.0758
29095008500,"Census Tract 85, Jackson County, Missouri",3788,150542,NA,481200,0,49620,0,1,0,NULL,1,12,0,0,0.0032
29095009000,"Census Tract 90, Jackson County, Missouri",4533,46034,952,74600,0.1739,49620,1,28.2,1,67.95,1,102,426,0.094,0.0225
29095005400,"Census Tract 54, Jackson County, Missouri",868,28167,696,NA,0.3199,49620,1,25.6,0,NULL,0,138,144,0.1659,0.159
29095006300,"Census Tract 63, Jackson County, Missouri",1587,20408,729,37500,0.3603,49620,1,41.4,1,60.49,1,317,313,0.1972,0.1997
29095005300,"Census Tract 53, Jackson County, Missouri",1528,50909,784,155100,0.2463,49620,0,18.3,0,NULL,0,132,168,0.1099,0.0864
29095005700,"Census Tract 57, Jackson County, Missouri",2371,31250,864,39800,0.322,49620,1,28.5,0,NULL,1,117,192,0.081,0.0493
29095006500,"Census Tract 65, Jackson County, Missouri",1630,47179,872,186800,0.2067,49620,1,15.4,0,NULL,1,67,25,0.0153,0.0411
29095008200,"Census Tract 82, Jackson County, Missouri",2950,100716,1408,205300,0,49620,0,6.7,0,NULL,1,34,0,0,0.0115
29095001800,"Census Tract 18, Jackson County, Missouri",2579,27656,759,61000,0.3381,49620,1,37.2,0,NULL,0,174,327,0.1268,0.0675
29095013502,"Census Tract 135.02, Jackson County, Missouri",6059,88963,1454,171700,0.0127,49620,0,5.3,0,97.98,1,24,10,0.0017,0.004
29095006700,"Census Tract 67, Jackson County, Missouri",1811,53182,841,147500,0.163,49620,0,18.5,0,NULL,1,160,52,0.0287,0.0883
29095013407,"Census Tract 134.07, Jackson County, Missouri",2519,96776,879,262500,0.1661,49620,0,2.4,0,66.47,1,217,0,0,0.0861
29095009300,"Census Tract 93, Jackson County, Missouri",2618,57959,1275,156900,0.028,49620,0,8,0,NULL,0,66,0,0,0.0252
29095018000,"Census Tract 180, Jackson County, Missouri",3566,49404,1004,129500,0.0314,49620,1,10.1,0,0.74,1,94,99,0.0278,0.0264
29095014004,"Census Tract 140.04, Jackson County, Missouri",3053,52394,887,148800,0.0989,49620,0,16.6,1,24.84,1,33,132,0.0432,0.0108
29095013208,"Census Tract 132.08, Jackson County, Missouri",2683,37382,797,98600,0.1291,49620,1,29.6,0,5.72,1,259,228,0.085,0.0965
29095013405,"Census Tract 134.05, Jackson County, Missouri",2058,52348,808,245900,0.1725,49620,0,30.1,0,23.04,0,124,246,0.1195,0.0603
29095009100,"Census Tract 91, Jackson County, Missouri",3805,79763,1093,205200,0.0673,49620,0,2.9,0,NULL,1,52,0,0,0.0137
29095013401,"Census Tract 134.01, Jackson County, Missouri",2648,43681,793,150800,0.2127,49620,1,20.4,1,57.99,1,97,253,0.0955,0.0366
29095009900,"Census Tract 99, Jackson County, Missouri",2158,65223,1041,151400,0.0268,49620,0,9.9,0,0.00,1,40,22,0.0102,0.0185
29095010702,"Census Tract 107.02, Jackson County, Missouri",3468,35992,937,94400,0.1204,49620,1,30.5,0,8.09,1,233,430,0.124,0.0672
29095010201,"Census Tract 102.01, Jackson County, Missouri",2362,29130,688,83100,0.1744,49620,1,38,1,100.00,1,144,379,0.1605,0.061
29095017900,"Census Tract 179, Jackson County, Missouri",4709,64387,1001,178300,0.043,49620,0,8.1,0,3.26,1,187,40,0.0085,0.0397
29095004300,"Census Tract 43, Jackson County, Missouri",2370,41700,1009,248300,0.1441,49620,1,23.5,1,34.18,1,205,170,0.0717,0.0865
29095006900,"Census Tract 69, Jackson County, Missouri",1497,75208,1084,201500,0.215,49620,0,9.5,0,NULL,0,80,0,0,0.0534
29095010002,"Census Tract 100.02, Jackson County, Missouri",3875,46021,945,128400,0.1003,49620,1,11.6,0,29.15,1,180,57,0.0147,0.0465
29095005100,"Census Tract 51, Jackson County, Missouri",1623,73750,1011,331700,0.1689,49620,0,10.3,0,NULL,0,86,41,0.0253,0.053
